Tabelle: 12521-0002
Foreigners: Germany, reference date, sex/age years/marital;;;;
status, country groups/citizenship;;;;
Statistics of foreigners;;;;;;;
Germany;;;;;;;
Foreigners (number);;;;;;;
;;Sex;;;;;
;;Male;;Female;;Total;
;North America;61798;e;49203;e;111001;e
;Central America and Caribbean;12068;e;18393;e;30461;e
;South America;24765;e;48967;e;73732;e
;Asia;400015;e;421563;e;821578;e
;South West Asia;148732;e;113347;e;262079;e
;South and South East Asia;126730;e;165934;e;292664;e
;East and Central Asia;124553;e;142282;e;266835;e
;Australia and Oceania;6449;e;5443;e;11892;e
;Countries of origin of foreign workers;1936442;e;1708138;e;3644580;e
;Territory of former Yugoslavia;465004;e;450730;e;915734;e
;Territory of former Serbia and Montenegro;201682;e;192106;e;393788;e
;Territory of the former Soviet Union;196573;e;306006;e;502579;e
;Territory of former Czechoslovakia;25568;e;41120;e;66688;e
;United Kingdom incl. British overseas territories;-;;-;;-;
2011-12-31;Total;3546660;e;3384236;e;6930896;e
;videlicet:;;;;;;
;Europe;2830849;e;2678297;e;5509146;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1489690;e;1332514;e;2822204;e
;EU-28 third countries (until 2020-01-31);2056970;e;2051722;e;4108692;e
;EU-27 (until 2013-06-30);1381158;e;1218032;e;2599190;e
;EU-27 third countries (until 2013-06-30);2165502;e;2166204;e;4331706;e
;EU-25 (until 2006-12-31);1251609;e;1094470;e;2346079;e
;EU-25 third countries (until 2006-12-31);2295051;e;2289766;e;4584817;e
;EU-15 (until 2004-04-30);905523;e;743145;e;1648668;e
;EU-15 third countries (until 2004-04-30);2641137;e;2641091;e;5282228;e
;EC-12 (until 1994-12-31);801181;e;641032;e;1442213;e
