Tabelle: 62231-0001
Indices of agreed earnings, weekly working hours:;;;;;;;;;
Germany, months, economic activities;;;;;;;;;
Monthly index of agreed earnings and working hours;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;
;;;;Index coll. agreed hourly earnings without sp.pay.;;Index coll. agreed hourly earnings with sp.pay.;;Index coll. agreed monthly earnings without sp.pay;;Index coll. agreed monthly earnings with sp.pay.;;Index of collectively agreed weekly working hours;;Average collectively agreed weekly working hours;
;;;;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;h;h
;;;February;85.1;e;79.6;e;85.2;e;79.7;e;100.0;e;38.3;e
;;;March;85.2;e;79.6;e;85.2;e;79.7;e;100.0;e;38.3;e
;;;April;85.2;e;79.9;e;85.2;e;80.0;e;100.0;e;38.3;e
;;;May;85.7;e;80.2;e;85.6;e;80.2;e;100.0;e;38.3;e
;;;June;85.8;e;94.0;e;85.8;e;93.3;e;100.0;e;38.3;e
;;;July;86.3;e;82.6;e;86.3;e;82.7;e;100.0;e;38.3;e
;;;August;86.5;e;81.7;e;86.6;e;81.8;e;100.0;e;38.3;e
;;;September;86.5;e;81.0;e;86.6;e;81.1;e;100.0;e;38.3;e
;;;October;86.7;e;83.2;e;86.7;e;83.2;e;100.0;e;38.3;e
;;;November;86.7;e;126.6;e;86.7;e;126.7;e;100.0;e;38.3;e
;;;December;86.8;e;85.3;e;86.8;e;85.3;e;100.0;e;38.3;e
;;2015;January;87.0;e;81.7;e;87.0;e;81.7;e;100.0;e;38.5;e
;;;February;87.0;e;81.8;e;87.0;e;81.8;e;100.0;e;38.5;e
;;;March;87.5;e;82.7;e;87.5;e;82.7;e;100.0;e;38.5;e
;;;April;88.2;e;82.9;e;88.2;e;82.9;e;100.0;e;38.5;e
;;;May;88.2;e;82.8;e;88.2;e;82.8;e;100.0;e;38.5;e
;;;June;88.5;e;95.5;e;88.5;e;95.5;e;100.0;e;38.5;e
;;;July;88.8;e;84.0;e;88.8;e;84.0;e;100.0;e;38.5;e
;;;August;88.9;e;83.7;e;88.9;e;83.7;e;100.0;e;38.5;e
;;;September;89.0;e;83.6;e;89.0;e;83.6;e;100.0;e;38.5;e
;;;October;89.0;e;84.3;e;89.0;e;84.3;e;100.0;e;38.5;e
;;;November;89.0;e;129.5;e;89.0;e;129.5;e;100.0;e;38.5;e
;;;December;89.0;e;85.8;e;89.0;e;85.8;e;100.0;e;38.5;e
;;2016;January;89.1;e;84.0;e;89.1;e;84.0;e;100.0;e;38.5;e
;;;February;89.2;e;83.8;e;89.2;e;83.8;e;100.0;e;38.5;e
;;;March;89.5;e;84.0;e;89.5;e;84.0;e;100.0;e;38.5;e
;;;April;89.5;e;84.1;e;89.5;e;84.1;e;100.0;e;38.5;e
;;;May;89.6;e;84.1;e;89.6;e;84.1;e;100.0;e;38.5;e
;;;June;89.8;e;96.3;e;89.8;e;96.3;e;100.0;e;38.5;e
;;;July;90.2;e;85.4;e;90.2;e;85.4;e;100.0;e;38.5;e
;;;August;90.7;e;86.9;e;90.7;e;86.9;e;100.0;e;38.5;e
;;;September;90.9;e;85.8;e;90.9;e;85.8;e;100.0;e;38.5;e
;;;October;91.1;e;86.0;e;91.1;e;86.0;e;100.0;e;38.5;e
;;;November;91.2;e;132.3;e;91.2;e;132.3;e;100.0;e;38.5;e
;;;December;91.2;e;88.2;e;91.2;e;88.2;e;100.0;e;38.5;e
;;2017;January;91.5;e;86.2;e;91.5;e;86.2;e;100.0;e;38.5;e
;;;February;92.0;e;86.4;e;92.0;e;86.4;e;100.0;e;38.5;e
;;;March;92.0;e;86.4;e;92.0;e;86.4;e;100.0;e;38.5;e
;;;April;92.6;e;87.6;e;92.6;e;87.6;e;100.0;e;38.5;e
;;;May;92.8;e;87.4;e;92.8;e;87.4;e;100.0;e;38.5;e
;;;June;92.8;e;99.6;e;92.8;e;99.6;e;100.0;e;38.5;e
;;;July;92.9;e;87.7;e;92.9;e;87.7;e;100.0;e;38.5;e
;;;August;93.1;e;87.7;e;93.1;e;87.7;e;100.0;e;38.5;e
;;;September;93.2;e;87.7;e;93.2;e;87.7;e;100.0;e;38.5;e
;;;October;93.3;e;87.7;e;93.3;e;87.7;e;100.0;e;38.5;e
;;;November;93.3;e;134.7;e;93.3;e;134.7;e;100.0;e;38.5;e
;;;December;93.3;e;88.4;e;93.3;e;88.4;e;100.0;e;38.5;e
;;2018;January;93.9;e;88.4;e;93.9;e;88.4;e;100.0;e;38.5;e
;;;February;94.0;e;88.3;e;94.0;e;88.3;e;100.0;e;38.5;e
;;;March;94.0;e;88.7;e;94.0;e;88.7;e;100.0;e;38.5;e
;;;April;94.6;e;89.0;e;94.6;e;89.0;e;100.0;e;38.5;e
;;;May;94.8;e;89.0;e;94.8;e;89.0;e;100.0;e;38.5;e
;;;June;95.1;e;102.3;e;95.1;e;102.3;e;100.0;e;38.5;e
;;;July;95.1;e;89.7;e;95.1;e;89.7;e;100.0;e;38.5;e
;;;August;95.7;e;92.1;e;95.7;e;92.2;e;100.0;e;38.5;e
;;;September;95.8;e;90.9;e;95.8;e;91.0;e;100.0;e;38.5;e
;;;October;96.2;e;91.0;e;96.2;e;91.1;e;100.0;e;38.5;e
;;;November;96.3;e;138.7;e;96.3;e;138.7;e;100.0;e;38.5;e
;;;December;96.4;e;91.4;e;96.4;e;91.4;e;100.0;e;38.5;e
;;2019;January;96.6;e;90.7;e;96.6;e;90.7;e;100.0;e;38.5;e
;;;February;96.6;e;90.8;e;96.6;e;90.7;e;100.0;e;38.5;e
;;;March;96.6;e;90.7;e;96.6;e;90.7;e;100.0;e;38.5;e
;;;April;97.3;e;91.4;e;97.3;e;91.4;e;100.0;e;38.5;e
;;;May;97.4;e;91.5;e;97.4;e;91.5;e;100.0;e;38.5;e
